SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
LIQGRWBEES,EQ,1001.4,1001.42,1001.4,1001.4,1001.4,1001.28,1718,1720420.88,29-Jul-2025,15,INF204KC1FU1
AUTOBEES,EQ,243.01,245.59,241.63,244.99,245.59,243.01,122479,29900179.68,29-Jul-2025,1428,INF204KC1337
PHARMABEES,EQ,23.87,24,22.7,23.6,23.58,23.29,5527989,129912294.37,29-Jul-2025,9413,INF204KC1089
SILVERBEES,EQ,109.48,109.63,108.71,109.52,109.48,109.05,9985342,1091891890.93,29-Jul-2025,38438,INF204KC1402
SNXT30BEES,EQ,38.63,38.64,38.23,38.41,38.4,38.29,5536,212534.75,29-Jul-2025,82,INF204KC1EZ3
NIRAJ,EQ,49,51.99,49,51.06,51.6,49.69,12369,620690.99,29-Jul-2025,291,INE368I01016
NIRAJISPAT,BE,481,481,481,481,481,490.8,2,962.00,29-Jul-2025,2,INE326T01011
NIRMAN,SM,159.1,165.9,155.65,155.65,155.65,163.8,72600,11370795.00,29-Jul-2025,181,INE0OK701014
NITCO,EQ,134.5,135,129.62,133.45,132,132.56,165051,21862506.92,29-Jul-2025,1700,INE858F01012
NITINSPIN,EQ,378,386,376.3,382.4,382.65,383.2,46359,17664229.80,29-Jul-2025,2138,INE229H01012
NITIRAJ,EQ,198.12,199.27,193,194.82,196.49,197.78,4897,953749.15,29-Jul-2025,221,INE439T01012
NIVABUPA,EQ,83.47,85.15,82.78,84.36,84.5,82.95,1560868,131068897.75,29-Jul-2025,15413,INE995S01015
NKIND,EQ,69,69.5,63.58,69.21,66.7,66.25,1046,71350.38,29-Jul-2025,266,INE542C01019
NLCINDIA,EQ,234.3,240,232.46,239.45,239.95,234.41,852760,202678239.29,29-Jul-2025,15389,INE589A01014
NMDC,EQ,70.47,71.95,70.37,71.8,71.82,71.02,10501708,749116729.33,29-Jul-2025,31478,INE584A01023
NSLNISP,EQ,37.55,37.8,37.06,37.62,37.78,37.66,1485824,55682379.92,29-Jul-2025,8401,INE0NNS01018
NOCIL,EQ,180,183.81,179.05,182.96,183,179.41,294841,53506392.34,29-Jul-2025,8026,INE163A01018
NOIDATOLL,BE,3.73,3.75,3.49,3.56,3.6,3.66,114415,407315.77,29-Jul-2025,226,INE781B01015
NORBTEAEXP,BE,33.79,33.79,32.5,32.74,32.51,33.79,835,27642.64,29-Jul-2025,19,INE369C01017
NECCLTD,EQ,22.36,22.36,21.81,22.05,21.94,21.96,33724,742943.74,29-Jul-2025,431,INE553C01016
NORTHARC,EQ,234,246.23,232.21,244.69,245,232.83,1605096,384884097.53,29-Jul-2025,24622,INE850M01015
NOVAAGRI,EQ,56.8,59,55.51,58.58,58.98,57.04,344361,19787889.61,29-Jul-2025,2555,INE02H701025
NRBBEARING,EQ,283,294.4,280.25,292.3,289.2,281.9,111928,32142893.25,29-Jul-2025,5096,INE349A01021
NIBL,BE,23.98,24,22.66,22.66,22.66,23.86,53473,1219821.14,29-Jul-2025,231,INE047O01014
NTPCGREEN,EQ,108.27,109.8,105.26,105.97,106.04,107.28,14337930,1530589432.62,29-Jul-2025,65596,INE0ONG01011
NTPC,EQ,332,335.5,328.5,334.6,335.3,332.95,7551356,2512116887.70,29-Jul-2025,78006,INE733E01010
NUCLEUS,EQ,1031,1035.4,1005.4,1024.5,1030,1030.2,20600,20984780.20,29-Jul-2025,4023,INE096B01018
NRL,BE,74,75.99,72.65,73.41,73.59,74.78,36363,2682034.19,29-Jul-2025,221,INE0JM501013
NURECA,EQ,240,241.85,235.1,237.35,237.3,241,10306,2446789.15,29-Jul-2025,589,INE0DSF01015
NUVAMA,EQ,7278,7310.5,7136,7210,7239,7234.5,73577,530749919.50,29-Jul-2025,15525,INE531F01015
NUVOCO,EQ,403,421,402.95,414.95,414.95,408.7,475345,197509091.65,29-Jul-2025,19492,INE118D01016
OBEROIRLTY,EQ,1625.1,1682.7,1616.3,1664.8,1665.9,1627.2,1123541,1863385468.70,29-Jul-2025,70313,INE093I01010
OBSCP,ST,293,306,293,300.4,304,293,27600,8280120.00,29-Jul-2025,23,INE0YHV01011
OCCLLTD,BE,138.88,138.95,136.61,137.72,138.01,138.18,44156,6095153.48,29-Jul-2025,171,INE0PK601023
ODIGMA,BE,35.17,35.9,34.5,35.39,35.26,35.17,11307,399349.56,29-Jul-2025,449,INE054301028
ONGC,EQ,240.02,242.51,239.82,241.44,241.75,240.02,6157824,1486556770.11,29-Jul-2025,55521,INE213A01029
OILCOUNTUB,EQ,86,91.08,85.12,88.99,90.65,88.4,17581,1550025.27,29-Jul-2025,535,INE591A01010
OIL,EQ,428.85,442.3,428.5,440.7,440.3,426.3,1537551,672414447.55,29-Jul-2025,29037,INE274J01014
OLAELEC,EQ,41.45,42.34,40.92,41.71,41.85,41.29,65134571,2709977119.50,29-Jul-2025,84193,INE0LXG01040
OLECTRA,EQ,1427,1466.9,1408,1430.4,1437,1438.8,594424,850762746.20,29-Jul-2025,31314,INE260D01016
OMINFRAL,EQ,118,119.72,116.42,119.13,118.5,118.6,86621,10223231.53,29-Jul-2025,2133,INE239D01028
OMAXAUTO,EQ,129.66,137.7,125.04,128.92,129.8,130.45,1140528,150924520.87,29-Jul-2025,16902,INE090B01011
OMAXE,EQ,101.9,102.5,99.18,101.5,101.71,99.85,512415,51787869.56,29-Jul-2025,5556,INE800H01010
OMFURN,SM,99,99,95,95.75,95.5,103.45,92400,8898240.00,29-Jul-2025,74,INE338Y01016
PAYTM,EQ,1094.2,1094.85,1064.2,1073.1,1075.5,1094.2,4756985,5108268418.90,29-Jul-2025,89299,INE982J01020
